parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock
12660860,,,,3.0,2.0,,7,3.0,,,1690.0,1690,,,,,06037,,3,,,,2,33846400,-118391000,22920.0,,,,,,010C,266,RBMDR*,060376212.041003,33612,3101,,96123,0.0,,,,1,,,1984.0,,,198310.0,439136.0,2016,240826.0,5224.33,,,60376212041003
12661326,,,,1.0,1.0,,3,1.0,,,528.0,528,,,,,06037,,1,,,,,33847280,-118386366,1197.0,,,,,,0100,261,RBR-3,060376212.013015,33612,3101,,96123,0.0,,,,1,,,1910.0,,,96813.0,488427.0,2016,391614.0,6085.18,,,60376212013015
12661732,,,,2.0,2.0,,4,2.0,,,1312.0,1312,,,,,06037,,2,,,,7,33844474,-118383608,5231.0,,,,,,0100,261,RBR-3,060376212.012015,33612,3101,,96123,0.0,,,,1,,,1910.0,,,66155.0,192997.0,2016,126842.0,2832.86,,,60376212012015
12661755,,,,3.0,4.0,,5,3.0,,,1630.0,,,1630,,,06037,,3,,,,7,33844313,-118382448,4815.0,,,,,,0200,246,RBR-3,060376212.012013,33612,3101,,96123,0.0,,,,2,,,1920.0,,,218278.0,1030478.0,2016,812200.0,12450.8,,,60376212012013
12662085,,,,3.0,3.0,,7,3.0,,,1929.0,1929,,,,,06037,,3,,,,2,33845485,-118378659,5981.0,,,,,,010C,266,RBR3*,060376212.012009,33612,3101,,96123,0.0,,,,1,,,1995.0,,,239427.0,789128.0,2016,549701.0,9391.93,,,60376212012009
12662161,,,,2.0,2.0,,7,2.0,,,1458.0,1458,,,,,06037,,2,,,,2,33841400,-118389000,80545.0,1,,,,1,010C,266,RBC1*,060376212.041012,33612,3101,,96123,0.0,,,,1,,,1980.0,,,232994.0,778720.0,2016,545726.0,8853.48,,,60376212041012
12662750,1,,,2.0,2.0,,7,2.0,,,1439.0,1439,,,,,06037,,2,,,,2,33839800,-118388000,16819.0,,,,,,010C,266,RBMDR*,060376213.242006,33612,3101,,96123,0.0,,,,1,,,1974.0,,,188345.0,251073.0,2016,62728.0,3181.83,,,60376213242006
12662941,,,,4.0,4.0,,4,4.0,,,2160.0,,,2160,,,06037,,4,,,,,33837660,-118385335,6048.0,,,,,,0400,248,RBR-3A,060376213.242004,33612,3101,,96123,0.0,,,,4,,,1969.0,,,217745.0,356584.0,2016,138839.0,5008.91,,,60376213242004
12663140,,,,3.0,4.0,,7,3.0,,,2262.0,2262,,,,,06037,,3,,,,2,33841474,-118378390,6427.0,,,,,,010C,266,RBR3*,060376213.011003,33612,3101,,96123,0.0,,,,1,,,1983.0,,,276519.0,350006.0,2016,73487.0,4580.15,,,60376213011003
12663186,,,,1.0,3.0,,3,1.0,,,864.0,864,,,,,06037,,1,,,,7,33841267,-118380083,5471.0,,,,,,0100,261,RBR-3,060376213.014000,33612,3101,,96123,0.0,,,,1,,,1923.0,,,58165.0,290859.0,2016,232694.0,3848.43,,,60376213014000
12663301,,,,3.0,2.0,,6,3.0,,,1494.0,1494,,,,,06037,,3,,,,2,33841700,-118383000,8961.0,,,,,,0100,261,RBR-3,060376213.014002,33612,3101,,96123,0.0,,,,1,,,1984.0,,,175973.0,559776.0,2016,383803.0,6838.5,,,60376213014002
12663438,,,,1.0,3.0,,3,1.0,,,1348.0,1348,,,,,06037,,1,,,,7,33839229,-118381037,7037.0,,,,,,0100,261,RBR-3,060376213.014007,33612,3101,,96123,0.0,,,,1,,,1920.0,,,12813.0,67053.0,2016,54240.0,1454.94,,,60376213014007
12663484,,,,4.0,5.0,,4,4.0,,,2800.0,,,2800,,,06037,,4,,,,7,33839720,-118380171,6596.0,,,,,,0200,246,RBR-3,060376213.014008,33612,3101,,96123,0.0,,,,2,,,1960.0,,,169253.0,299796.0,2016,130543.0,4366.12,,,60376213014008
12663667,,,,4.0,7.0,,4,4.0,,,2656.0,,,2656,,,06037,,4,,,,7,33840223,-118377122,6104.0,,,,,,0200,246,RBR-3,060376213.011005,33612,3101,,96123,0.0,,,,2,,,1924.0,,,156893.0,269093.0,2016,112200.0,4098.87,,,60376213011005
12663896,,,,1.0,3.0,,4,1.0,,,1192.0,1192,,,,,06037,,1,,,,7,33835692,-118377073,6973.0,,,,,,0100,261,RBR-1,060376213.011017,33612,3101,,96123,0.0,,,,1,,,1947.0,,,10000.0,1005000.0,2016,995000.0,11996.12,,,60376213011017
12664264,,,,2.0,3.0,,4,2.0,,,2631.0,2631,,,,,06037,,2,,,,2,33832611,-118380638,5599.0,,,,,,0100,261,RBR-1,060376213.013010,33612,3101,,96123,0.0,,,,1,,,1948.0,,,83209.0,875827.0,2016,792618.0,10471.64,,,60376213013010
12664625,,,,2.0,2.0,,8,2.0,,,975.0,975,,,,,06037,,2,,,,2,33832700,-118377000,147100.0,1,,,,1,010E,266,RBPDR*,060376213.012001,33612,3101,,96123,0.0,,,,1,,,1970.0,,,87520.0,196096.0,2016,108576.0,2472.02,,,60376213012001
12664763,,,,4.0,3.0,,8,4.0,,,1964.0,1964,,,,,06037,,4,,,,2,33828100,-118373000,22182.0,,,,,,010E,266,RBPDR*,060376213.011015,33612,3101,,96123,0.0,,,,1,,,1971.0,,,205614.0,660565.0,2016,454951.0,7699.7,,,60376213011015
12664809,,,,2.0,5.0,,8,2.0,,,1816.0,1816,,,,,06037,,2,,,,2,33832011,-118373574,5399.0,,,,,,0100,261,RBR-1,060376213.011012,54722,3101,416331,96123,0.0,,,,1,,,1965.0,,,71797.0,171115.0,2016,99318.0,2572.79,,,60376213011012
12665032,1,,,2.0,2.0,,9,2.0,,,1270.0,1270,,,,,06037,,2,,,,2,33829700,-118390000,19985.0,,,,,,010C,266,RBMDR*,060376213.241001,33612,3101,,96123,0.0,,,,1,,,1974.0,,,311341.0,816583.0,2016,505242.0,9491.67,,,60376213241001
12665438,1,,,3.0,3.0,,9,3.0,,,2251.0,2251,,,,,06037,,3,,,,2,33829401,-118388287,3476.0,,,,,,0100,261,RBR-3A,060376213.241002,33612,3101,,96123,0.0,,,,1,,,2002.0,,,439134.0,1187891.0,2016,748757.0,13934.91,,,60376213241002
12666164,,,,3.0,2.0,,7,3.0,,,1246.0,1246,,,,,06037,,3,,,,2,33835100,-118390000,24168.0,1,,,,1,010C,266,RBMDR*,060376213.241001,33612,3101,,96123,0.0,,,,1,,,1974.0,,,235281.0,678356.0,2016,443075.0,7943.84,,,60376213241001
12666470,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,33826328,-118386333,5688.0,,,,,,010V,260,RBR-1,060376213.262004,33612,3101,,96123,0.0,,,,,,,,,,843000.0,1796875.0,2016,953875.0,20716.91,,,60376213262004
12666569,,,,1.0,2.0,,7,1.0,,,946.0,946,,,,,06037,,1,,,,7,33825852,-118383343,6084.0,,,,,,0100,261,RBR-3,060376214.004004,33612,3101,,96123,0.0,,,,1,,,1952.0,,,50000.0,1100000.0,2015,1050000.0,,,,60376214004004
12666630,,,,1.0,2.0,,8,1.0,,,1069.0,1069,,,,,06037,,1,,,,7,33827400,-118384000,18263.0,,,,,,010E,266,RBR3*,060376214.004003,33612,3101,,96123,0.0,,,,1,,,1968.0,,,101914.0,284325.0,2016,182411.0,3460.89,,,60376214004003
12666868,,,,3.0,4.0,,6,3.0,,,1796.0,1796,,,,,06037,,3,,,,7,33825723,-118381737,6104.0,,,,,,0100,261,RBR-1,060376214.004005,33612,3101,,96123,0.0,,,,1,,,1948.0,,,206000.0,1027000.0,2016,821000.0,12115.18,,,60376214004005
12666891,,,,2.0,3.0,,6,2.0,,,1691.0,1691,,,,,06037,,2,,,,7,33826047,-118380112,6081.0,1,,,,1,010G,261,RBR-1,060376214.004005,33612,3101,,96123,0.0,,,,1,,,1931.0,,,89000.0,447000.0,2016,358000.0,5630.79,,,60376214004005
12666991,,,,3.0,3.0,,6,3.0,,,2838.0,2838,,,,,06037,,3,,,,7,33824947,-118379358,6100.0,,,,,,0100,261,RBR-1,060376214.003001,33612,3101,,96123,0.0,,,,1,,,1943.0,,,266216.0,449977.0,2016,183761.0,5790.86,,,60376214003001
12667129,,,,1.0,3.0,,4,1.0,,,1537.0,1537,,,,,06037,,1,,,,7,33822580,-118375656,6984.0,,,,,,0100,261,RBR-1,060376214.001006,33612,3101,,96123,0.0,,,,1,,,1952.0,,,75193.0,375994.0,2016,300801.0,4992.46,,,60376214001006
12667328,,,,4.0,8.0,,6,4.0,,,3606.0,,,3606,,,06037,,4,,,,,33820200,-118384000,7386.0,,,,,,0400,248,RBRMD,060376214.001010,33612,3101,,96123,0.0,,,,4,,,1952.0,,,259665.0,895851.0,2016,636186.0,11167.25,,,60376214001010
12669475,,,,4.0,4.0,,10,4.0,,,3294.0,3294,,,,,06037,,4,,,,2,33810608,-118388325,6005.0,,,,,,010D,269,TOPR-LO,060376513.043018,33612,3101,115657,96123,0.0,,,,1,,,1996.0,,,753750.0,1310326.0,2016,556576.0,14887.96,,,60376513043018
12670244,1,,,2.0,2.0,,6,2.0,,,1568.0,1568,,,,,06037,,2,,,,2,33805142,-118377926,6889.0,,,,,,0100,261,TORR-LO,060376513.025011,33612,3101,115657,96123,0.0,,,,1,,,1948.0,,,38085.0,100606.0,2016,62521.0,1380.58,,,60376513025011
12670420,,,,2.0,3.0,,6,2.0,,,1653.0,1653,,,,,06037,,2,,,,2,33816206,-118380883,6854.0,,,,,,0100,261,TORR-LO,060376513.042003,33612,3101,115657,96123,0.0,,,,1,,,1953.0,,,94035.0,470207.0,2016,376172.0,5415.99,,,60376513042003
12671004,,,,5.0,6.0,,8,5.0,,,4092.0,4092,,,,,06037,,5,,,,2,33811602,-118382175,10596.0,,,,,,0100,261,TORR-LO,060376513.044003,33612,3101,115657,96123,0.0,,,,1,,,1951.0,,,1245000.0,1930000.0,2016,685000.0,21772.47,,,60376513044003
12671104,,,,3.0,4.0,,8,3.0,,,2742.0,2742,,,,,06037,,3,,,,2,33812215,-118384827,7819.0,,,,,,0100,261,TORR-LO,060376513.041008,33612,3101,115657,96123,0.0,,,,1,,,1953.0,,,210414.0,793761.0,2016,583347.0,9078.84,,,60376513041008
12671242,,,,1.0,4.0,,4,1.0,,,1107.0,1107,,,,,06037,,1,,,,7,33826377,-118371643,5800.0,,,,,,0100,261,TORR-LO,060376512.014003,54722,3101,416967,96163,0.0,,,,1,,,1952.0,,,92914.0,464593.0,2016,371679.0,5440.29,,,60376512014003
12671365,,,,2.0,4.0,,4,2.0,,,1179.0,1179,,,,,06037,,2,,,,7,33822498,-118372046,6482.0,,,,,,0100,261,TORR-LO,060376512.014007,54722,3101,416967,96163,0.0,,,,1,,,1952.0,,,21924.0,84445.0,2016,62521.0,1218.67,,,60376512014007
12671895,,,,2.0,3.0,,6,2.0,,,1770.0,1770,,,,,06037,,2,,,,2,33831958,-118372655,12697.0,,,,,,0100,261,TORR-LO,060376507.024000,54722,3101,416331,96161,0.0,,,,1,,,1955.0,,,61822.0,133251.0,2016,71429.0,1738.75,,,60376507024000
12671995,,,,2.0,3.0,,6,2.0,,,1155.0,1155,,,,,06037,,2,,,,7,33832011,-118368984,5674.0,,,,,,0100,261,TORR-LO,060376507.025007,54722,3101,416331,96161,0.0,,,,1,,,1955.0,,,136298.0,681501.0,2016,545203.0,7776.37,,,60376507025007
12672641,,,,2.0,3.0,,6,2.0,,,1907.0,1907,,,,,06037,,2,,,,7,33831918,-118363683,5400.0,1,,,,1,0104,261,TORR-LO,060376507.022003,54722,3101,416331,96161,0.0,,,,1,,,1955.0,,,179000.0,865000.0,2016,686000.0,9847.64,,,60376507022003
12673310,,,,1.0,3.0,,4,1.0,,,1145.0,1145,,,,,06037,,1,,,,7,33845158,-118375771,6557.0,,,,,,0100,261,RBR-3,060376212.012011,54722,3101,,96123,0.0,,,,1,,,1947.0,,,,862962.0,2016,862962.0,10352.24,,,60376212012011
12673425,1,,,3.0,4.0,,8,3.0,,,2054.0,2054,,,,,06037,,3,,,,2,33841424,-118375030,12890.0,,,,,,010C,266,RBR-3,060376213.011000,54722,3101,,96123,0.0,,,,1,,,1990.0,,,205903.0,528488.0,2016,322585.0,6328.99,,,60376213011000
12673448,,,,2.0,3.0,,8,2.0,,,1525.0,1525,,,,,06037,,2,,,,2,33839600,-118376000,24547.0,,,,,,010C,266,RBR3*,060376213.011000,33612,3101,,96123,0.0,,,,,,,1980.0,,,181631.0,353786.0,2016,172155.0,4263.62,,,60376213011000
12673755,,,,2.0,3.0,,8,2.0,,,1278.0,1278,,,,,06037,,2,,,,2,33847194,-118374592,6706.0,,,,,,0100,261,TORR-LO,060376506.031007,54722,3101,,96161,0.0,,,,1,,,1959.0,,,75575.0,485468.0,2016,409893.0,5618.97,,,60376506031007
12673855,1,,,3.0,3.0,,9,3.0,,,2679.0,2679,,,,,06037,,3,,,,2,33839226,-118373008,3701.0,,,,,,010D,269,TOPR-LO,060376506.032013,54722,3101,416332,96161,0.0,,,,1,,,1991.0,,,323414.0,723821.0,2016,400407.0,8274.77,,,60376506032013
12674007,,,,2.0,3.0,,8,2.0,,,1654.0,1654,,,,,06037,,2,,,,2,33840420,-118366979,6119.0,,,,,,0100,261,TORR-LO,060376506.032017,54722,3101,,96161,0.0,,,,1,,,1959.0,,,49267.0,123594.0,2016,74327.0,1684.3,,,60376506032017
12674107,,,,2.0,4.0,,6,2.0,,,1610.0,1610,,,,,06037,,2,,,,2,33841826,-118367864,6584.0,,,,,,0100,261,TORR-LO,060376506.032004,54722,3101,,96161,0.0,,,,1,,,1961.0,,,139483.0,456070.0,2016,316587.0,5305.07,,,60376506032004
12674207,,,,2.0,3.0,,6,2.0,,,1742.0,1742,,,,,06037,,2,,,,2,33843387,-118366451,6315.0,,,,,,0100,261,TORR-LO,060376506.031018,54722,3101,,96161,0.0,,,,1,,,1961.0,,,109647.0,820322.0,2016,710675.0,9359.71,,,60376506031018
12674437,,,,3.0,3.0,,8,3.0,,,1974.0,1974,,,,,06037,,3,,,,2,33846218,-118364291,7424.0,,,,,,0100,261,TORR-LO,060376506.031023,54722,3101,,96161,0.0,,,,1,,,1964.0,,,88961.0,197033.0,2016,108072.0,2520.45,,,60376506031023
12674651,,,,3.0,4.0,,7,3.0,,,2804.0,2804,,,,,06037,,3,,,,2,33853426,-118376068,4999.0,1,,,,1,0104,261,TORR-LO,060376505.023003,54722,3101,416333,96161,0.0,,,,1,,,1969.0,,,349550.0,640895.0,2016,291345.0,7391.44,,,60376505023003
12674958,,,,1.0,3.0,,4,1.0,,,1112.0,1112,,,,,06037,,1,,,,7,33852486,-118367601,5923.0,,,,,,0100,261,TORR-LO,060376505.023011,54722,3101,275994,96161,0.0,,,,1,,,1955.0,,,87068.0,305088.0,2016,218020.0,3589.64,,,60376505023011
12675081,,,,4.0,4.0,,8,4.0,,,2396.0,2396,,,,,06037,,4,,,,2,33850030,-118369984,6360.0,,,,,,0100,261,TORR-LO,060376505.023009,54722,3101,275994,96161,0.0,,,,1,,,1956.0,,,166480.0,553028.0,2016,386548.0,6403.22,,,60376505023009
12675181,,,,3.0,4.0,,6,3.0,,,2476.0,2476,,,,,06037,,3,,,,7,33848851,-118368475,6360.0,,,,,,0100,261,TORR-LO,060376505.023008,54722,3101,275994,96161,0.0,,,,1,,,1956.0,,,185114.0,631303.0,2016,446189.0,7354.99,,,60376505023008
12675281,,,,4.0,4.0,,8,4.0,,,2284.0,2284,,,,,06037,,4,,,,2,33851544,-118375179,5001.0,1,,,,1,0101,261,TORR-LO,060376505.023007,54722,3101,416333,96161,0.0,,,,1,,,1969.0,,,336096.0,709540.0,2016,373444.0,8132.84,,,60376505023007
12675527,,,,2.0,5.0,,6,2.0,,,1558.0,1558,,,,,06037,,2,,,,7,33854529,-118365841,5293.0,,,,,,0100,261,TORR-LO,060376505.021009,54722,3101,275994,96161,0.0,,,,1,,,1955.0,,,83469.0,261478.0,2016,178009.0,3120.22,,,60376505021009
12675673,,,,4.0,5.0,,7,4.0,,,2676.0,2676,,,,,06037,,4,,,,2,33854466,-118364268,5513.0,,,,,,0100,261,TORR-LO,060376505.021003,54722,3101,275994,96161,0.0,,,,1,,,2007.0,,,351999.0,861238.0,2016,509239.0,9838.88,,,60376505021003
12675796,,,,2.0,3.0,,8,2.0,,,1798.0,1798,,,,,06037,,2,,,,2,33849408,-118365785,5578.0,,,,,,0100,261,TORR-LO,060376505.022002,54722,3101,275994,96161,0.0,,,,1,,,1974.0,,,135207.0,676047.0,2016,540840.0,7819.7,,,60376505022002
12675919,,,,2.0,3.0,,6,2.0,,,1653.0,1653,,,,,06037,,2,,,,7,33848852,-118364438,6361.0,,,,,,0100,261,TORR-LO,060376505.022006,54722,3101,275994,96161,0.0,,,,1,,,1955.0,,,142904.0,399986.0,2016,257082.0,4669.65,,,60376505022006
12675965,,,,1.0,3.0,,4,1.0,,,1112.0,1112,,,,,06037,,1,,,,7,33857956,-118356910,6956.0,,,,,,0100,261,TORR-LO,060376505.013007,54722,3101,275994,96161,0.0,,,,1,,,1954.0,,,84099.0,272501.0,2016,188402.0,3231.7,,,60376505013007
12676088,,,,2.0,3.0,,6,2.0,,,2090.0,2090,,,,,06037,,2,,,,2,33856165,-118362228,5201.0,,,,,,0100,261,TORR-LO,060376505.013014,54722,3101,275994,96161,0.0,,,,1,,,1954.0,,,120807.0,180428.0,2016,59621.0,2318.85,,,60376505013014
12676188,,,,3.0,4.0,,8,3.0,,,2391.0,2391,,,,,06037,,3,,,,7,33856094,-118359691,5598.0,,,,,,0100,261,TORR-LO,060376505.013012,54722,3101,275994,96161,0.0,,,,1,,,1954.0,,,177446.0,443629.0,2016,266183.0,5182.19,,,60376505013012
12676288,,,,1.0,3.0,,4,1.0,,,1120.0,1120,,,,,06037,,1,,,,7,33855205,-118353444,5395.0,,,,,,0100,261,TORR-LO,060376505.012000,54722,3101,,96161,0.0,,,,1,,,1954.0,,,23792.0,86110.0,2016,62318.0,1229.68,,,60376505012000
12676388,1,,,3.0,4.0,,7,3.0,,,2429.0,2429,,,,,06037,,3,,,,2,33853361,-118358785,5149.0,,,,,,0100,261,TOPR-LO,060376505.012006,54722,3101,275994,96161,0.0,,,,1,,,1986.0,,,244904.0,459299.0,2016,214395.0,5356.86,,,60376505012006
12676780,,,,1.0,3.0,,4,1.0,,,1674.0,1674,,,,,06037,,1,,,,7,33849988,-118354301,5724.0,,,,,,0100,261,TORR-LO,060376505.011008,54722,3101,275994,96161,0.0,,,,1,,,1955.0,,,38495.0,101434.0,2016,62939.0,1347.25,,,60376505011008
12676880,,,,3.0,5.0,,6,3.0,,,2258.0,2258,,,,,06037,,3,,,,2,33851117,-118357309,5386.0,1,,,,1,0101,261,TORR-LO,060376505.011010,54722,3101,275994,96161,0.0,,,,1,,,1955.0,,,123904.0,196144.0,2016,72240.0,2424.09,,,60376505011010
12677026,,,,3.0,5.0,,8,3.0,,,2232.0,2232,,,,,06037,,3,,,,2,33845178,-118347098,6036.0,1,,,,1,0101,261,TORR-LO,060376506.051001,54722,3101,416336,96161,0.0,,,,1,,,1964.0,,,130652.0,567799.0,2016,437147.0,6558.65,,,60376506051001
12677216,,,,3.0,2.0,,8,3.0,,,1134.0,1134,,,,,06037,,3,,,,2,33847900,-118362000,35350.0,,,,,,010C,266,TORR-MH,060376506.023007,54722,3101,,96161,0.0,,,,1,,,1981.0,,,156866.0,296464.0,2016,139598.0,3510.69,,,60376506023007
12677307,,,,3.0,3.0,,7,3.0,,,2183.0,2183,,,,,06037,,3,,,,2,33841461,-118359909,131486.0,,,,,,010C,266,TORR-LM,060376506.023016,54722,3101,,96161,0.0,,,,1,,,1982.0,,,270700.0,679900.0,2016,409200.0,7835.17,,,60376506023016
12678018,,,,3.0,3.0,,6,3.0,,,2135.0,2135,,,,,06037,,3,,,,2,33842392,-118355814,6268.0,,,,,,0100,261,TORR-LO,060376506.021001,54722,3101,,96161,0.0,,,,1,,,1958.0,,,153020.0,304033.0,2016,151013.0,3634.31,,,60376506021001
12678209,,,,3.0,4.0,,8,3.0,,,1670.0,1670,,,,,06037,,3,,,,,33848129,-118345675,141977.0,1,,,,1,010C,266,TORR-MD,060376506.051001,54722,3101,416336,96161,0.0,,,,1,,,1974.0,,,234421.0,590875.0,2016,356454.0,6731.59,,,60376506051001
12678278,,,,3.0,5.0,,8,3.0,,,2232.0,2232,,,,,06037,,3,,,,2,33847933,-118350167,7487.0,,,,,,0100,261,TORR-LO,060376506.051003,54722,3101,416336,96161,0.0,,,,1,,,1964.0,,,67493.0,126080.0,2016,58587.0,1653.45,,,60376506051003
12678742,,,,2.0,3.0,,6,2.0,,,1434.0,1434,,,,,06037,,2,,,,7,33835615,-118357164,5400.0,,,,,,0100,261,TORR-LO,060376507.011002,54722,3101,416331,96161,0.0,,,,1,,,1956.0,,,150257.0,751285.0,2016,601028.0,8562.91,,,60376507011002
12678842,,,,2.0,3.0,,6,2.0,,,1509.0,1509,,,,,06037,,2,,,,7,33833021,-118357151,5701.0,,,,,,0100,261,TORR-LO,060376507.012019,54722,3101,416331,96161,0.0,,,,1,,,1956.0,,,102504.0,507156.0,2016,404652.0,5930.25,,,60376507012019
12678988,,,,2.0,3.0,,6,2.0,,,1140.0,1140,,,,,06037,,2,,,,7,33826132,-118365892,6008.0,,,,,,0100,261,TORR-LO,060376512.015001,54722,3101,416967,96163,0.0,,,,1,,,1952.0,,,42440.0,626010.0,2016,583570.0,7159.97,,,60376512015001
12679334,,,,2.0,4.0,,6,2.0,,,1584.0,1584,,,,,06037,,2,,,,7,33822315,-118359579,5180.0,,,,,,0100,261,TORR-LO,060376512.011004,54722,3101,416330,96163,0.0,,,,1,,,1953.0,,,42228.0,104749.0,2016,62521.0,1377.86,,,60376512011004
12679457,,,,3.0,4.0,,6,3.0,,,1844.0,1844,,,,,06037,,3,,,,7,33823249,-118366433,8170.0,,,,,,0100,261,TORR-LO,060376512.015009,54722,3101,416967,96163,0.0,,,,1,,,1954.0,,,115021.0,225684.0,2016,110663.0,2747.91,,,60376512015009
12679557,,,,2.0,2.0,,4,2.0,,,1349.0,1349,,,,,06037,,2,,,,7,33820274,-118366130,9280.0,,,,,,0100,261,TORR-LO,060376512.015012,54722,3101,416967,96163,0.0,,,,1,,,1949.0,,,77656.0,165622.0,2016,87966.0,2063.82,,,60376512015012
12679807,,,,3.0,2.0,,8,3.0,,,1685.0,1685,,,,,06037,,3,,,,2,33823066,-118355271,35162.0,1,,,,1,010C,266,TORR-MD,060376512.211011,54722,3101,416330,96163,0.0,,,,1,,,1981.0,,,171700.0,269751.0,2016,98051.0,3157.32,,,60376512211011
12680030,,,,3.0,4.0,,8,3.0,,,2330.0,2330,,,,,06037,,3,,,,2,33816917,-118354104,6017.0,,,,,,0100,261,TORR-LO,060376512.222003,54722,3101,416330,96163,0.0,,,,1,,,1964.0,,,75571.0,142651.0,2016,67080.0,1834.66,,,60376512222003
